name, release date
1.0.0-incubating,2012-08-06
1.0.1-incubating,2012-08-29
1.0.3-incubating,2012-09-30
1.0.2-incubating,2012-10-02
1.0.4,2012-12-10
1.0.5,2013-01-23
1.0.6,2013-02-27
1.0.7,2013-03-26
1.1.0,2013-04-05
1.0.8,2013-04-18
1.1.1,2013-04-29
1.1.2,2013-06-11
1.1.3,2013-07-12
1.1.4,2013-09-27
1.1.5,2013-11-28
1.1.6,2014-02-22
1.1.7,2014-04-11
1.1.8,2014-07-03
1.2.0-M1,2014-09-08
1.2.0,2014-10-03
1.2.1,2014-11-17
1.2.2,2015-01-30
1.2.3,2015-03-20
1.2.4,2015-05-05
1.2.5,2015-07-28
1.2.6,2015-11-05
2.0.0-M1,2015-12-23
1.2.7,2016-01-15
1.2.8,2016-06-03
1.2.9,2016-10-07
1.2.10,2017-01-24
1.2.11,2018-03-13
